"No.","Time","Source","Destination","Protocol","Length","Info"
"127","135.143673972","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50226  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44697250 TSecr=0 WS=128"
"128","137.159015997","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50226  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44699265 TSecr=0 WS=128"
"129","137.732373592","192.168.10.3","192.168.10.1","TCP","78","50228  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44699838 TSecr=0 WS=128 TFO=R"
"130","138.759181029","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50228  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44700865 TSecr=0 WS=128"
"131","140.775596009","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50228  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44702881 TSecr=0 WS=128"
"132","141.320448264","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50226  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44703426 TSecr=0 WS=128"
"133","144.156351933","192.168.10.3","192.168.10.1","TCP","78","50230  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44706262 TSecr=0 WS=128 TFO=R"
"134","144.903402703","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50228  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44707009 TSecr=0 WS=128"
"135","145.160414302","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50230  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44707266 TSecr=0 WS=128"
"136","145.927395937","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","Who has 192.168.10.1? Tell 192.168.10.3"
"137","145.927888990","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"138","147.175923821","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50230  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44709281 TSecr=0 WS=128"
"139","149.161688809","192.168.10.3","192.168.10.1","TCP","78","50232  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44711267 TSecr=0 WS=128 TFO=R"
"140","150.183795053","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50232  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44712289 TSecr=0 WS=128"
"141","151.304633325","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50230  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44713409 TSecr=0 WS=128"
"142","152.200264112","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50232  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44714305 TSecr=0 WS=128"
"143","154.164310102","192.168.10.3","192.168.10.1","DNS","90","Standard query 0xe7eb AAAA incoming.telemetry.mozilla.org"
"144","154.164557881","192.168.10.3","192.168.10.1","DNS","84","Standard query 0x718c A detectportal.firefox.com"
"145","154.166287837","192.168.10.3","192.168.10.1","DNS","107","Standard query 0x31cb A incoming.telemetry.mozilla.org.mail.redmail.com"
"146","154.166612132","192.168.10.3","192.168.10.1","DNS","107","Standard query 0x6205 AAAA incoming.telemetry.mozilla.org.mail.redmail.com"
"147","156.278814759","192.168.10.3","192.168.10.1","DHCP","342","DHCP Request  - Transaction ID 0x2dae931a"
"148","156.279713557","192.168.10.1","192.168.10.3","DHCP","342","DHCP ACK      - Transaction ID 0x2dae931a"
"149","156.424023662","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50232  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44718529 TSecr=0 WS=128"
"150","159.172773029","192.168.10.3","192.168.10.1","DNS","107","Standard query 0x6205 AAAA incoming.telemetry.mozilla.org.mail.redmail.com"
"151","159.173167932","192.168.10.3","192.168.10.1","DNS","107","Standard query 0x31cb A incoming.telemetry.mozilla.org.mail.redmail.com"
"152","159.174280909","192.168.10.3","192.168.10.1","DNS","101","Standard query 0xe7bf A detectportal.firefox.com.mail.redmail.com"
"153","159.175118920","192.168.10.3","192.168.10.1","DNS","101","Standard query 0x8ad1 AAAA detectportal.firefox.com.mail.redmail.com"
"154","159.175799418","192.168.10.3","192.168.10.1","TCP","78","50234  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44721281 TSecr=0 WS=128 TFO=R"
"155","160.200283557","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50234  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44722305 TSecr=0 WS=128"
"156","161.415885953","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","Who has 192.168.10.3? Tell 192.168.10.1"
"157","161.416117333","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","192.168.10.3 is at 00:0c:29:5e:72:a2"
"158","162.217032591","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50234  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44724322 TSecr=0 WS=128"
"159","164.179453489","192.168.10.3","192.168.10.1","DNS","101","Standard query 0x8ad1 AAAA detectportal.firefox.com.mail.redmail.com"
"160","164.179825665","192.168.10.3","192.168.10.1","DNS","101","Standard query 0xe7bf A detectportal.firefox.com.mail.redmail.com"
"161","166.408733137","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50234  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44728513 TSecr=0 WS=128"
"162","169.186689464","192.168.10.3","192.168.10.1","TCP","78","50236  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44731291 TSecr=0 WS=128 TFO=R"
"163","169.187174172","192.168.10.3","192.168.10.1","TCP","78","50238  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44731291 TSecr=0 WS=128 TFO=R"
"164","170.217131962","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50238  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44732321 TSecr=0 WS=128"
"165","170.217752651","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50236  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44732322 TSecr=0 WS=128"
"166","170.952920150","192.168.10.10","192.168.10.1","DHCP","342","DHCP Request  - Transaction ID 0x9cb49a4b"
"167","170.968601823","192.168.10.1","192.168.10.8","DHCP","342","DHCP ACK      - Transaction ID 0x9cb49a4b"
"168","172.233023953","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50236  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44734337 TSecr=0 WS=128"
"169","172.233086156","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50238  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44734337 TSecr=0 WS=128"
"170","174.345234275","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","Who has 192.168.10.1? Tell 192.168.10.3"
"171","174.345821532","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"172","176.008292314","VMware_71:a8:f0","VMware_b3:2c:b1","ARP","60","Who has 192.168.10.8? Tell 192.168.10.1"
"173","176.008311553","VMware_b3:2c:b1","VMware_71:a8:f0","ARP","42","192.168.10.8 is at 00:0c:29:b3:2c:b1"
"174","176.027821042","VMware_b3:2c:b1","VMware_71:a8:f0","ARP","42","Who has 192.168.10.1? Tell 192.168.10.10"
"175","176.028252671","VMware_71:a8:f0","VMware_b3:2c:b1","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"176","176.393924720","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50238  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44738498 TSecr=0 WS=128"
"177","176.394143202","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50236  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44738498 TSecr=0 WS=128"
