"No.","Time","Source","Destination","Protocol","Length","Info"
"70","55.689229604","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"71","56.323295161","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50214  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44618434 TSecr=0 WS=128"
"72","56.721995409","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"73","57.737511241","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"74","58.761582951","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"75","59.917597654","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"76","60.938226579","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"77","61.960980787","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"78","62.986776280","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"79","64.009281232","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
